agent,time,x,y,z,original_x,original_y,original_z,distance,threshold,applied_force
3,12.4,6.6,0.0,0.0,6.6,0.0,0.0,4.903060268852506,-1.9515301344262528,0.0
0,12.6,11.6,1.0,0.0,11.6,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,12.6,12.6,19.0,0.0,12.6,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,12.6,10.0,10.0,12.6,10.0,10.0,12.6,15.566630977832038,-7.283315488916019,0.0
3,12.6,6.4,0.0,0.0,6.4,0.0,0.0,5.29528091794949,-2.147640458974745,0.0
0,12.8,11.8,1.0,0.0,11.8,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,12.8,12.8,19.0,0.0,12.8,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,12.8,10.0,10.0,12.8,10.0,10.0,12.8,15.750555545757745,-7.3752777728788725,0.0
3,12.8,6.2,0.0,0.0,6.2,0.0,0.0,5.688585061331158,-2.344292530665579,0.0
0,13.0,12.0,1.0,0.0,12.0,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,13.0,13.0,19.0,0.0,13.0,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,13.0,10.0,10.0,13.0,10.0,10.0,13.0,15.937377450509228,-7.468688725254614,0.0
3,13.0,6.0,0.0,0.0,6.0,0.0,0.0,6.082762530298219,-2.5413812651491097,0.0
0,13.2,12.2,1.0,0.0,12.2,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,13.2,13.2,19.0,0.0,13.2,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,13.2,10.0,10.0,13.2,10.0,10.0,13.2,16.126996000495566,-7.563498000247783,0.0
3,13.2,5.8,0.0,0.0,5.8,0.0,0.0,6.477653896280659,-2.7388269481403293,0.0
0,13.4,12.4,1.0,0.0,12.4,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,13.4,13.4,19.0,0.0,13.4,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,13.4,10.0,10.0,13.4,10.0,10.0,13.4,16.31931371106028,-7.659656855530139,0.0
3,13.4,5.6,0.0,0.0,5.6,0.0,0.0,6.8731361109758335,-2.9365680554879168,0.0
0,13.6,12.6,1.0,0.0,12.6,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,13.6,13.6,19.0,0.0,13.6,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,13.6,10.0,10.0,13.6,10.0,10.0,13.6,16.51423628267441,-7.757118141337205,0.0
3,13.6,5.4,0.0,0.0,5.4,0.0,0.0,7.269112738154498,-3.134556369077249,0.0
0,13.8,12.8,1.0,0.0,12.8,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,13.8,13.8,19.0,0.0,13.8,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,13.8,10.0,10.0,13.8,10.0,10.0,13.8,16.71167256740031,-7.855836283700155,0.0
